"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"0693",,,,,,,,,"End user",1,524288
,"0694","Bat_Charge_Today","U32","0,01","kWh",,,"R","Battery charge capacity of the day","End user",1,1048576
,"0695",,,,,,,,,"End user",1,2097152
,"0696","Bat_Charge_Total","U32","0,1","kWh",,,"R","Total battery charge","End user",1,4194304
,"0697",,,,,,,,,"End user",1,8388608
,"0698","Bat_Discharge_Today","U32","0,01","kWh",,,"R","Battery discharge capacity of the day","End user",1,16777216
,"0699",,,,,,,,,"End user",1,33554432
,"069A","Bat_Discharge_Total","U32","0,1","kWh",,,"R","Total battery discharge","End user",1,67108864
,"069B",,,,,,,,,"End user",1,134217728
,"069C",,,,,,,,,,,
,"069D",,,,,,,,,,,
,"069E",,,,,,,,,,,
,"069F",,,,,,,,,,,
,"06A0",,,,,,,,,,,
,"06A1",,,,,,,,,,,
,"06A2",,,,,,,,,,,
,"06A3",,,,,,,,,,,
,"06A4",,,,,,,,,,,
,"06A5",,,,,,,,,,,
,"06A6",,,,,,,,,,,
,"06A7",,,,,,,,,,,
,"06A8",,,,,,,,,,,
,"06A9",,,,,,,,,,,
,"06AA",,,,,,,,,,,
,"06AB",,,,,,,,,,,
,"06AC",,,,,,,,,,,
,"06AD",,,,,,,,,,,
,"06AE",,,,,,,,,,,
,"06AF",,,,,,,,,,,
,"06B0",,,,,,,,,,,
,"06B1",,,,,,,,,,,
,"06B2",,,,,,,,,,,
,"06B3",,,,,,,,,,,
,"06B4",,,,,,,,,,,
,"06B5",,,,,,,,,,,
,"06B6",,,,,,,,,,,
,"06B7",,,,,,,,,,,
,"06B8",,,,,,,,,,,
,"06B9",,,,,,,,,,,
,"06BA",,,,,,,,,,,
,"06BB",,,,,,,,,,,
,"06BC",,,,,,,,,,,
,"06BD",,,,,,,,,,,
,"06BE",,,,,,,,,,,
,"06BF",,,,,,,,,,,
,,,,,,,,,,,,
"internal info(0x06C0-0x06FF)",,,,,,,,,,,,
,"06C0","AddressMask_Realtime_ClassifiedInfo1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","Installer","00000000","00007FFF"
,"06C1",,,,,,,,,"Installer",,
,"06C2",,,,,,,,,"Installer",,
,"06C3",,,,,,,,,"Installer",,
,"06C4","GFCI","U16",1,"mA",,,"R","Leakage current","Installer",1,16
,"06C5","Current_Bus_Balance","I16","0,01","A",,,"R","Balance current","Installer",1,32
,"06C6","DCI_R","I16",1,"mA",,,"R","R-phase current DC component","Installer",1,64
,"06C7","DCI_S","I16",1,"mA",,,"R","S-phase current DC component","Installer",1,128
,"06C8","DCI_T","I16",1,"mA",,,"R","T-phase current DC component","Installer",1,256
,"06C9","DCV_R","I16",1,"mV",,,"R","R-phase voltage DC component","Installer",1,512
,"06CA","DCV_S","I16",1,"mV",,,"R","S-phase voltage DC component","Installer",1,1024
,"06CB","DCV_T","I16",1,"mV",,,"R","T-phase voltage DC component","Installer",1,2048
,"06CC","Voltage_Bus","U16","0,1","V",,,"R","Total BUS voltage","Installer",1,4096
,"06CD","Voltage_Bus_P","U16","0,1","V",,,"R","BUS positive voltage","Installer",1,8192
,"06CE","Voltage_Bus_N","U16","0,1","V",,,"R","BUS negative voltage","Installer",1,16384
,"06CF","Voltage_Bus_LLC","U16","0,1","V",,,"R","LLC Bus voltage","Installer",,0
,"06D0","Current_BuckBoost","I16","0,01","A",,,"R","BuckBoost current","Installer",,0
,"06D1","Voltage_Bus_P_Half","U16","0,1","V",,,"R","BUS positive half voltage",,,0
,"06D2","Voltage_Bus_N_Half","U16","0,1","V",,,"R","BUS negative half voltage",,,0
,"06D3","FlyingCap_Voltage1","U16","0,1","V",,,"R","PV1 flying capacitor voltage",,,0
,"06D4","FlyingCap_Voltage2","U16","0,1","V",,,"R","PV2 flying capacitor voltage",,,0
,"06D5","FlyingCap_Voltage3","U16","0,1","V",,,"R","PV3 flying capacitor voltage",,,0
,"06D6","FlyingCap_Voltage4","U16","0,1","V",,,"R","PV4 flying capacitor voltage",,,0
,"06D7","FlyingCap_Voltage5","U16","0,1","V",,,"R","PV5 flying capacitor voltage",,,0
,"06D8","FlyingCap_Voltage6","U16","0,1","V",,,"R","PV6 flying capacitor voltage",,,0
,"06D9","FlyingCap_Voltage7","U16","0,1","V",,,"R","PV7 flying capacitor voltage",,,0
,"06DA","FlyingCap_Voltage8","U16","0,1","V",,,"R","PV8 flying capacitor voltage",,,0
,"06DB","FlyingCap_Voltage9","U16","0,1","V",,,"R","PV9 flying capacitor voltage",,,0
,"06DC","FlyingCap_Voltage10","U16","0,1","V",,,"R","PV10 flying capacitor voltage",,,0
,"06DD","FlyingCap_Voltage11","U16","0,1","V",,,"R","PV11 flying capacitor voltage",,,0
,"06DE","FlyingCap_Voltage12","U16","0,1","V",,,"R","PV12 flying capacitor voltage",,,0
,"06DF","FlyingCap_Voltage13","U16","0,1","V",,,"R","PV13 flying capacitor voltage",,,0
,"06E0","FlyingCap_Voltage14","U16","0,1","V",,,"R","PV14 flying capacitor voltage",,,0
,"06E1","FlyingCap_Voltage15","U16","0,1","V",,,"R","PV15 flying capacitor voltage",,,0
,"06E2","FlyingCap_Voltage16","U16","0,1","V",,,"R","PV16 flying capacitor voltage",,,0
,"06E3",,,,,,,,,,,
,"06E4",,,,,,,,,,,
,"06E5",,,,,,,,,,,
,"06E6",,,,,,,,,,,
,"06E7",,,,,,,,,,,
,"06E8",,,,,,,,,,,
,"06E9",,,,,,,,,,,
,"06EA",,,,,,,,,,,
,"06EB",,,,,,,,,,,
,"06EC",,,,,,,,,,,
,"06ED",,,,,,,,,,,
,"06EE",,,,,,,,,,,
,"06EF",,,,,,,,,,,
,"06F0",,,,,,,,,,,
,"06F1",,,,,,,,,,,
,"06F2",,,,,,,,,,,
,"06F3",,,,,,,,,,,
,"06F4",,,,,,,,,,,
,"06F5",,,,,,,,,,,
,"06F6",,,,,,,,,,,
,"06F7",,,,,,,,,,,
,"06F8",,,,,,,,,,,
,"06F9",,,,,,,,,,,
,"06FA",,,,,,,,,,,
,"06FB",,,,,,,,,,,
,"06FC",,,,,,,,,,,
,"06FD",,,,,,,,,,,
,"06FE",,,,,,,,,,,
,"06FF",,,,,,,,,,,
,,,,,,,,,,,,
"combined info(0x0700-0x077F)",,,,,,,,,,,,
,"0700","AddressMask_Realtime_CombinerInfo1","U64",,,,,"R","
Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","Installer","00000000","0000000F"
,"0701",,,,,,,,,"Installer",,
,"0702",,,,,,,,,"Installer",,
,"0703",,,,,,,,,"Installer",,
,"0704","Voltage_Group1","U16","0,1","V",,,"R","The first group of bus voltage",,0,0
,"0705","Current_Group1_Branch1","U16","0,01","A",,,"R","The first group of the first string current",,,
,"0706","Current_Group1_Branch2","U16","0,01","A",,,"R","The first group and the second string current",,,
,"0707","Voltage_Group2","U16","0,1","V",,,"R","The second group of bus voltage",,,
,"0708","Current_Group2_Branch1","U16","0,01","A",,,"R","2nd group 1st string current",,,
,"0709","Current_Group2_Branch2","U16","0,01","A",,,"R","2nd group 2nd string current",,,
,"070A","Voltage_Group3","U16","0,1","V",,,"R","The third group of bus voltage",,,
,"070B","Current_Group3_Branch1","U16","0,01","A",,,"R","3rd group 1st string current",,,
,"070C","Current_Group3_Branch2","U16","0,01","A",,,"R","3rd group 2nd string current",,,
,"070D","Voltage_Group4","U16","0,1","V",,,"R","Group 4 bus voltage",,,
,"070E","Current_Group4_Branch1","U16","0,01","A",,,"R","4th group 1st string current",,,
,"070F","Current_Group4_Branch2","U16","0,01","A",,,"R","4th group 2nd string current",,,
,"0710","Voltage_Group5","U16","0,1","V",,,"R","Group 5 bus voltage",,,
,"0711","Current_Group5_Branch1","U16","0,01","A",,,"R","5th group 1st string current",,,
,"0712","Current_Group5_Branch2","U16","0,01","A",,,"R","5th group 2nd string current",,,
,"0713","Voltage_Group6","U16","0,1","V",,,"R","Group 6 bus voltage",,,
,"0714","Current_Group6_Branch1","U16","0,01","A",,,"R","6th group 1st string current",,,
,"0715","Current_Group6_Branch2","U16","0,01","A",,,"R","6th group 2nd string current",,,
,"0716","Voltage_Group7","U16","0,1","V",,,"R","Group 7 bus voltage",,,
,"0717","Current_Group7_Branch1","U16","0,01","A",,,"R","7th group 1st string current",,,
,"0718","Current_Group7_Branch2","U16","0,01","A",,,"R","7th group 2nd string current",,,
,"0719","Voltage_Group8","U16","0,1","V",,,"R","Group 8 bus voltage",,,
,"071A","Current_Group8_Branch1","U16","0,01","A",,,"R","8th group 1st string current",,,
,"071B","Current_Group8_Branch2","U16","0,01","A",,,"R","8th group 2nd string current",,,
,"071C","Voltage_Group9","U16","0,1","V",,,"R","Group 9 bus voltage",,,
,"071D","Current_Group9_Branch1","U16","0,01","A",,,"R","9th group 1st string current",,,
,"071E","Current_Group9_Branch2","U16","0,01","A",,,"R","9th group 2nd string current",,,
,"071F","Voltage_Group10","U16","0,1","V",,,"R","Group 10 bus voltage",,,
,"0720","Current_Group10_Branch1","U16","0,01","A",,,"R","10th group 1st string current",,,
,"0721","Current_Group10_Branch2","U16","0,01","A",,,"R","10th group 2nd string current",,,
,"0722","Voltage_Group11","U16","0,1","V",,,"R","Group 11 bus voltage",,,
,"0723","Current_Group11_Branch1","U16","0,01","A",,,"R","11th group 1st string current",,,
,"0724","Current_Group11_Branch2","U16","0,01","A",,,"R","11th group 2nd string current",,,
,"0725","Voltage_Group12","U16","0,1","V",,,"R","The 12th group of bus voltage",,,
,"0726","Current_Group12_Branch1","U16","0,01","A",,,"R","12th group 1st string current",,,
,"0727","Current_Group12_Branch2","U16","0,01","A",,,"R","12th group 2nd string current",,,
,"0728","Voltage_Group13","U16","0,1","V",,,"R","Group 13 bus voltage",,,
,"0729","Current_Group13_Branch1","U16","0,01","A",,,"R","13th group 1st string current",,,
,"072A","Current_Group13_Branch2","U16","0,01","A",,,"R","13th group 2nd string current",,,
,"072B","Voltage_Group14","U16","0,1","V",,,"R","Group 14 bus voltage",,,
,"072C","Current_Group14_Branch1","U16","0,01","A",,,"R","The 14th group and the 1st string current",,,
,"072D","Current_Group14_Branch2","U16","0,01","A",,,"R","The 14th group and the 2nd string current",,,
,"072E","Voltage_Group15","U16","0,1","V",,,"R","Group 15 bus voltage",,,
,"072F","Current_Group15_Branch1","U16","0,01","A",,,"R","15th group 1st string current",,,
,"0730","Current_Group15_Branch2","U16","0,01","A",,,"R","15th group 2nd string current",,,
,"0731","Voltage_Group16","U16","0,1","V",,,"R","The 16th group of bus voltage",,,
,"0732","Current_Group16_Branch1","U16","0,01","A",,,"R","The 16th group of the first string current",,,
,"0733","Current_Group16_Branch2","U16","0,01","A",,,"R","16th group 2nd string current",,,
,"0734",,,,,,,,,,,
,"0735",,,,,,,,,,,
,"0736",,,,,,,,,,,
,"0737",,,,,,,,,,,
,"0738",,,,,,,,,,,
,"0739",,,,,,,,,,,
,"073A",,,,,,,,,,,
,"073B",,,,,,,,,,,
,"073C",,,,,,,,,,,
,"073D",,,,,,,,,,,
,"073E",,,,,,,,,,,
,"073F",,,,,,,,,,,
,"0740","AddressMask_Realtime_CombinerInfo2","U64",,,,,"R","
Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","Installer","00000000","0000000F"
,"0741",,,,,,,,,"Installer",,
,"0742",,,,,,,,,"Installer",,
,"0743",,,,,,,,,"Installer",,
,"0744",,,,,,,,,,0,0
,"0745",,,,,,,,,,,
,"0746",,,,,,,,,,,
,"0747",,,,,,,,,,,
,"0748",,,,,,,,,,,
,"0749",,,,,,,,,,,
,"074A",,,,,,,,,,,
,"074B",,,,,,,,,,,
,"074C",,,,,,,,,,,
,"074D",,,,,,,,,,,
,"074E",,,,,,,,,,,
,"074F",,,,,,,,,,,
,"0750",,,,,,,,,,,
,"0751",,,,,,,,,,,
,"0752",,,,,,,,,,,
,"0753",,,,,,,,,,,
,"0754",,,,,,,,,,,
,"0755",,,,,,,,,,,
,"0756",,,,,,,,,,,
,"0757",,,,,,,,,,,
,"0758",,,,,,,,,,,
,"0759",,,,,,,,,,,
,"075A",,,,,,,,,,,
,"075B",,,,,,,,,,,
,"075C",,,,,,,,,,,
,"075D",,,,,,,,,,,
,"075E",,,,,,,,,,,
,"075F",,,,,,,,,,,
,"0760",,,,,,,,,,,
,"0761",,,,,,,,,,,
,"0762",,,,,,,,,,,
,"0763",,,,,,,,,,,
,"0764",,,,,,,,,,,
,"0765",,,,,,,,,,,
,"0766",,,,,,,,,,,
,"0767",,,,,,,,,,,
,"0768",,,,,,,,,,,
,"0769",,,,,,,,,,,
,"076A",,,,,,,,,,,
,"076B",,,,,,,,,,,
,"076C",,,,,,,,,,,
,"076D",,,,,,,,,,,
,"076E",,,,,,,,,,,
,"076F",,,,,,,,,,,
,"0770",,,,,,,,,,,
,"0771",,,,,,,,,,,
,"0772",,,,,,,,,,,
,"0773",,,,,,,,,,,
,"0774",,,,,,,,,,,
,"0775",,,,,,,,,,,
,"0776",,,,,,,,,,,
,"0777",,,,,,,,,,,
,"0778",,,,,,,,,,,
,"0779",,,,,,,,,,,
,"077A",,,,,,,,,,,
,"077B",,,,,,,,,,,
,"077C",,,,,,,,,,,
,"077D",,,,,,,,,,,
,"077E",,,,,,,,,,,
,"077F",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Arcing information(0x0780-0x07BF)",,,,,,,,,,,,
,"0780","AddressMask_Realtime_ArcInfo3","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","Installer","00000000","0000000F"
,"0781",,,,,,,,,"Installer",,
,"0782",,,,,,,,,"Installer",,
,"0783",,,,,,,,,"Installer",,
,"0784","ArcStrength_Channel1","I16",1,,,,"R","Real-time arc intensity monitored by channel 1",,,0
,"0785","ArcStrength_Channel2","I16",1,,,,"R","Real-time arc intensity monitored by channel 2",,,0
,"0786","ArcStrength_Channel3","I16",1,,,,"R","Real-time arc intensity monitored by channel 3",,,0
,"0787","ArcStrength_Channel4","I16",1,,,,"R","Real-time arc intensity monitored by channel 4",,,0
,"0788","ArcStrength_Channel5","I16",1,,,,"R","Real-time arc intensity monitored by channel 5",,,0
,"0789","ArcStrength_Channel6","I16",1,,,,"R","Real-time arc intensity monitored by channel 6",,,0
,"078A","ArcStrength_Channel7","I16",1,,,,"R","Real-time arc intensity monitored by channel 7",,,0
,"078B","ArcStrength_Channel8","I16",1,,,,"R","Real-time arc intensity monitored by channel 8",,,0
,"078C","ArcStrength_Channel9","I16",1,,,,"R","Real-time arc intensity monitored by channel 9",,,0
,"078D","ArcStrength_Channel10","I16",1,,,,"R","Real-time arc intensity monitored by channel 10",,,0
,"078E","ArcStrength_Channel11","I16",1,,,,"R","Real-time arc intensity monitored by channel 11",,,0
,"078F","ArcStrength_Channel12","I16",1,,,,"R","Real-time arc intensity monitored by channel 12",,,0
,"0790","ArcStrength_Channel13","I16",1,,,,"R","Real-time arc intensity monitored by channel 13",,,0
,"0791","ArcStrength_Channel14","I16",1,,,,"R","Real-time arc intensity monitored by channel 14",,,0
,"0792","ArcStrength_Channel15","I16",1,,,,"R","Real-time arc intensity monitored by channel 15",,,0
,"0793","ArcStrength_Channel16","I16",1,,,,"R","Real-time arc intensity monitored by channel 16",,,0
,"0794","ArcStrength_Channel17","I16",1,,,,"R","Real-time arc intensity monitored by channel 17",,,0
,"0795","ArcStrength_Channel18","I16",1,,,,"R","Real-time arc intensity monitored by channel 18",,,0
,"0796","ArcStrength_Channel19","I16",1,,,,"R","Real-time arc intensity monitored by channel 19",,,0
,"0797","ArcStrength_Channel20","I16",1,,,,"R","Real-time arc intensity monitored by channel 20",,,0
,"0798","ArcStrength_Channel21","I16",1,,,,"R","Real-time arc intensity monitored by channel 21",,,0
,"0799","ArcStrength_Channel22","I16",1,,,,"R","Real-time arc intensity monitored by channel 22",,,0
,"079A","ArcStrength_Channel23","I16",1,,,,"R","Real-time arc intensity monitored by channel 23",,,0
,"079B","ArcStrength_Channel24","I16",1,,,,"R","Real-time arc intensity monitored by channel 24",,,0
,"079C","ArcStrength_Channel25","I16",1,,,,"R","Real-time arc intensity monitored by channel 25",,,0
,"079D","ArcStrength_Channel26","I16",1,,,,"R","Real-time arc intensity monitored by channel 26",,,0
,"079E","ArcStrength_Channel27","I16",1,,,,"R","Real-time arc intensity monitored by channel 27",,,0
,"079F","ArcStrength_Channel28","I16",1,,,,"R","Real-time arc intensity monitored by channel 28",,,0
,"07A0","ArcStrength_Channel29","I16",1,,,,"R","Channel 29 monitored real-time arc intensity",,,0
,"07A1","ArcStrength_Channel30","I16",1,,,,"R","Real-time arc intensity monitored by channel 30",,,0
,"07A2","ArcStrength_history_Channel1","I16",1,,,,"R","Record the monitored arc intensity history after channel 1 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A3","ArcStrength_history_Channel2","I16",1,,,,"R","Record the monitored arc intensity history after channel 2 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A4","ArcStrength_history_Channel3","I16",1,,,,"R","Record the monitored arc intensity history after channel 3 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A5","ArcStrength_history_Channel4","I16",1,,,,"R","Record the monitored arc intensity history after channel 4 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A6","ArcStrength_history_Channel5","I16",1,,,,"R","Record the monitored arc intensity history after channel 5 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A7","ArcStrength_history_Channel6","I16",1,,,,"R","Record the monitored arc intensity history after channel 6 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A8","ArcStrength_history_Channel7","I16",1,,,,"R","Record the monitored arc intensity history after channel 7 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07A9","ArcStrength_history_Channel8","I16",1,,,,"R","Record the monitored arc intensity history after channel 8 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AA","ArcStrength_history_Channel9","I16",1,,,,"R","Record the monitored arc intensity history after channel 9 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AB","ArcStrength_history_Channel10","I16",1,,,,"R","Record the monitored arc intensity history after channel 10 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AC","ArcStrength_history_Channel11","I16",1,,,,"R","Record the monitored arc intensity history after channel 11 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AD","ArcStrength_history_Channel12","I16",1,,,,"R","Record the monitored arc intensity history after channel 12 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AE","ArcStrength_history_Channel13","I16",1,,,,"R","Record the monitored arc intensity history after channel 13 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07AF","ArcStrength_history_Channel14","I16",1,,,,"R","Record the monitored arc intensity history after channel 14 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B0","ArcStrength_history_Channel15","I16",1,,,,"R","Record the monitored arc intensity history after channel 15 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B1","ArcStrength_history_Channel16","I16",1,,,,"R","Record the monitored arc intensity history after channel 16 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B2","ArcStrength_history_Channel17","I16",1,,,,"R","Record the monitored arc intensity history after channel 17 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B3","ArcStrength_history_Channel18","I16",1,,,,"R","Record the monitored arc intensity history after channel 18 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B4","ArcStrength_history_Channel19","I16",1,,,,"R","Record the monitored arc intensity history after channel 19 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B5","ArcStrength_history_Channel20","I16",1,,,,"R","Record the monitored arc intensity history after channel 20 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B6","ArcStrength_history_Channel21","I16",1,,,,"R","Record the monitored arc intensity history after channel 21 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B7","ArcStrength_history_Channel22","I16",1,,,,"R","Record the monitored arc intensity history after channel 22 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B8","ArcStrength_history_Channel23","I16",1,,,,"R","Record the monitored arc intensity history after channel 23 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07B9","ArcStrength_history_Channel24","I16",1,,,,"R","Record the monitored arc intensity history after channel 24 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BA","ArcStrength_history_Channel25","I16",1,,,,"R","Record the monitored arc intensity history after channel 25 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BB","ArcStrength_history_Channel26","I16",1,,,,"R","Record the monitored arc intensity history after channel 26 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BC","ArcStrength_history_Channel27","I16",1,,,,"R","Record the monitored arc intensity history after channel 27 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BD","ArcStrength_history_Channel28","I16",1,,,,"R","Record the monitored arc intensity history after channel 28 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BE","ArcStrength_history_Channel29","I16",1,,,,"R","Record the monitored arc intensity history after channel 29 is powered on
Maximum value, automatically cleared after power failure",,,0
,"07BF","ArcStrength_history_Channel30","I16",1,,,,"R","Record the monitored arc intensity history after channel 30 is powered on
Maximum value, automatically cleared after power failure",,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Basic setting(0x1000-0x17FF)",,,,,,,,,,,,
"Basic parameter configuration(0x1000-0x10FF)",,,,,,,,,,,,
,"1000","AddressMask_Config_Basic1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid","End user","01FF63FE","001EFFFF"
,"1001",,,,,,,,,"End user",,
,"1002",,,,,,,,,"End user",,
,"1003",,,,,,,,,"End user",,
,"1004","SysTimeConfig_Year","U16",,"Year",0,99,"RW","System time-year;
The actual year is equal to 2000+register value","End user",1,16
,"1005","SysTimeConfig_Month","U16",,"January",1,12,"RW","System time-month","End user",1,32
,"1006","SysTimeConfig_Date","U16",,"Day",1,31,"RW","System Time-Daily Minutes","End user",1,64
,"1007","SysTimeConfig_Hour","U16",,"hour",0,23,"RW","System time-hour","End user",1,128
,"1008","SysTimeConfig_Minute","U16",,"minutes",0,59,"RW","System time-minutes","End user",1,256
,"1009","SysTimeConfig_Second","U16",,"seconds",0,59,"RW","System time-second","End user",1,512
,"100A","SysTimeConfig_Control","U16",,,1,1,"RW","When the written value is 1, the value in the system time shadow register is updated to the actual system time;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter access failed
0xFFFF: The operation failed, the input parameter is wrong","End user",1,1024
,"100B","RS485Config_Address","U16",,,1,247,"RW","RS485 configuration-address","End user",1,2048
,"100C","RS485Config_Baud","U16",,,0,4,"RW","RS485波特率选择；
0：4800bps
1：9600bps（默认）
2：19200bps
3：38400bps
4：57600bps","End user",1,4096
,"100D","RS485Config_StopBit","U16",,,0,2,"RW","RS485 stop bit selection;
0: 1 stop bit (default)
1: 1.5 stop bits
2: 2 stop bits","End user",1,8192
,"100E","RS485Config_ParityBit","U16",,,0,4,"RW","RS485 check digit selection;
0: No check/None (default)
1: Even parity/Even
2: Odd parity/Odd
3: High/Mark
4: Low/Space","End user",1,16384
,"100F","RS485Config_Control","U16",,,1,1,"RW","When the written value is 1, the value in the RS485 configuration shadow register is updated to the system RS485 configuration;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter access failed
0xFFFF: The operation failed, the input parameter is wrong","End user",1,32768
,"1010","PV_InputMode_Config","U16",,,0,1,"RW","PV input mode selection.
0: Parallel mode
1: Independent mode (default)","Installer",,0
,"1011","InputType_Channel0_Config","U16",,,0,255,"RW","Input channel 0 type selection.
The value 0 indicates that the current channel is not in use.
Values 1 to 127 indicate that the current channel is a photovoltaic panel input.
values 128 to 255 indicate that the current channel is a battery input.
If two or more channels have the same value and are greater than zero, it means that these channels are input in parallel;","Installer",1,131072
,"1012","InputType_Channel1_Config","U16",,,0,255,"RW",,"Installer",1,262144
,"1013","InputType_Channel2_Config","U16",,,0,255,"RW",,"Installer",1,524288
,"1014","InputType_Channel3_Config","U16",,,0,255,"RW",,"Installer",1,1048576
,"1015","InputType_Channel4_Config","U16",,,0,255,"RW",,"Installer",,0
,"1016","InputType_Channel5_Config","U16",,,0,255,"RW",,"Installer",,0
,"1017","InputType_Channel6_Config","U16",,,0,255,"RW",,"Installer",,0
,"1018","InputType_Channel7_Config","U16",,,0,255,"RW",,"Installer",,0
,"1019","InputType_Channel8_Config","U16",,,0,255,"RW",,"Installer",,0
,"101A","InputType_Channel9_Config","U16",,,0,255,"RW",,"Installer",,0
,"101B","InputType_Channel10_Config","U16",,,0,255,"RW",,"Installer",,0
,"101C","InputType_Channel11_Config","U16",,,0,255,"RW",,"Installer",,0
,"101D","InputType_Channel12_Config","U16",,,0,255,"RW",,"Installer",,0
,"101E","InputType_Channel13_Config","U16",,,0,255,"RW",,"Installer",,0
,"101F","InputType_Channel14_Config","U16",,,0,255,"RW",,"Installer",,0
,"1020","InputType_Channel15_Config","U16",,,0,255,"RW",,"Installer",,0
,"1021","InputType_Control","U16",,,1,1,"RW","When the written value is 1, the value in the input channel type shadow register is updated to the system input channel type configuration;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter access failed
0xFFFF: The operation failed, the input parameter is wrong","Installer",1,8589934592
,"1022","SafetyUpdateFromUSB_Control","U16",,,1,1,"RW","When the written value is 1, it is used for the communication board to take out the safety parameters from the U disk;
When reading, return the status of the last write operation:
0x0000: success
0x0001: operating
0xFFFB: The operation failed and the controller refused to respond (maybe the controller is busy or the configuration is wrong)
0xFFFC: The operation failed and the controller did not respond
0xFFFD: Operation failed, current function is forbidden
0xFFFE: Operation failed, parameter access failed
0xFFFF: The operation failed, the input parameter is wrong","Installer",1,17179869184
,"1023","AntiReflux_Control","U16",,,0,2,"RW","Anti-backflow enable control
When the written value is 0, the anti-backflow function is prohibited
When the written value is 1, it is the default anti-backflow mode
When the written value is 2, it is the average power anti-backflow mode","Installer",1,34359738368
,"1024","AntiReflux_Power","U16",100,"W",0,65535,"RW","Anti-backflow power","Installer",1,68719476736
,"1025","IVCurveScan_Control","U16",,,0,1,"RW","IV curve scan enable control","Installer",1,137438953472
,"1026","IVCurveScan_Period","U16",1,"Minutes",5,65535,"RW","IV curve scan period","Installer",1,274877906944
